id,mass,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.892478110416716,6.874207794545543,8.375932981531635,0.021582587073023952,-1.5750353801413917e-05,1.2926465040642069e-05,-4.058453942975424e-09
2,0.9100067069469697,-12.982706556142755,1.494273026673308,0.4303792302562848,-2.119738916352868e-06,-1.8416947796958387e-05,-6.105253771429365e-08
3,19.979269101607777,-5.848331092421059,12.133966902872555,0.8325850978436382,-1.641564143837295e-05,-7.912013193586706e-06,-1.1263767688288523e-07
4,7.279530824479063,2.1506065389966738,-5.497187304336153,0.7111036999713147,2.5432547333935654e-05,9.949706926769804e-06,-3.289896724929083e-07
5,7.841221122968732,13.424805256216164,-2.8658448548339472,0.501965095807846,3.7755500426282555e-06,1.768624144879602e-05,-6.613038858954634e-08
6,8.883396499112184,-0.9559656546116619,-1.9684457031407034,-0.3812827119061206,3.988066332157246e-05,-1.9367841519695293e-05,7.724778712261591e-07
7,9.586387153527296,-0.14575704682716625,1.0345343383792058,0.9436168979241097,-4.154037427642591e-05,-5.85268371866034e-06,-3.7889703279196047e-06
8,12.305829865813754,0.5878240617957976,13.221123998627036,0.38353418821472923,-1.8407257301018977e-05,8.184046042022573e-07,-5.3397974990167974e-08
9,18.501305560749685,-4.944047086744074,-3.784384276602328,0.8786140371698541,1.6098349419623316e-05,-2.1031425915587703e-05,-3.73752630323396e-07
10,18.168724704184097,-13.551114460657942,0.9819346237805898,0.30189672041687715,-1.314599485491191e-06,-1.814203070793613e-05,-4.041748439458071e-08
11,13.15473902228271,1.1566863099203524,-8.637231676704198,0.040053406609929953,2.2519358701788096e-05,3.015761866015316e-06,-1.0442894951056358e-08
12,10.524688977920315,6.684850495275637,-5.706065371996788,0.08829965979456836,1.468706818594128e-05,1.7206402071516944e-05,-2.2727799975141498e-08
13,14.753461195272084,8.075156890713563,-1.957462063340987,0.6007436765685303,5.460223065012336e-06,2.2525165996326492e-05,-1.6757384678818143e-07
